x,y,pen_down
826,521,True
826,537,True
830,553,True
831,570,True
831,576,True
831,560,True
830,575,True
826,591,True
825,607,True
822,624,True
825,616,True
823,618,True
823,617,True
824,607,True
823,609,True
825,610,True
826,600,True
823,616,True
818,633,True
817,641,True
820,634,True
817,639,True
815,636,True
818,629,True
818,631,True
820,623,True
818,634,True
810,650,True
806,658,True
812,650,True
808,654,True
807,659,True
812,642,True
812,646,True
813,642,True
808,653,True
799,669,True
794,677,True
803,667,True
799,671,True
796,677,True
796,671,True
801,665,True
802,663,True
798,670,True
805,660,True
792,677,True
782,693,True
789,688,True
788,689,True
781,699,True
783,696,True
780,697,True
791,681,True
786,687,True
790,682,True
782,692,True
792,680,True
787,689,True
776,705,True
760,721,True
774,709,True
768,717,True
764,719,True
762,724,True
763,721,True
767,719,True
768,712,True
771,708,True
774,705,True
769,711,True
774,707,True
776,700,True
770,712,True
756,728,True
742,745,True
726,761,True
710,777,True
693,790,True
705,781,True
697,787,True
704,782,True
696,788,True
704,785,True
721,768,True
737,752,True
753,736,True
741,749,True
725,765,True
708,782,True
714,777,True
730,761,True
741,750,True
726,766,True
712,780,True
725,768,True
733,759,True
728,763,True
711,780,True
717,773,True
733,757,True
750,740,True
735,754,True
719,770,True
702,787,True
712,775,True
728,759,True
744,742,True
753,730,True
743,742,True
750,735,True
755,729,True
740,746,True
745,742,True
758,726,True
756,729,True
755,733,True
739,749,True
722,766,True
706,782,True
690,793,True
673,799,True
684,795,True
680,798,True
680,797,True
688,795,True
688,794,True
693,792,True
695,791,True
679,800,True
662,803,True
656,804,True
665,802,True
663,805,True
663,803,True
672,803,True
670,803,True
678,801,True
663,806,True
647,809,True
631,809,True
614,807,True
602,806,True
615,808,True
613,806,True
603,807,True
617,806,True
634,808,True
647,807,True
631,807,True
620,807,True
628,807,True
644,808,True
640,808,True
624,808,True
623,809,True
639,809,True
655,808,True
650,809,True
660,807,True
648,807,True
631,810,True
615,807,True
599,804,True
588,802,True
602,803,True
596,801,True
593,804,True
595,804,True
607,805,True
590,799,True
574,796,True
577,796,True
574,794,True
578,797,True
575,795,True
584,797,True
580,795,True
591,800,True
575,792,True
559,784,True
559,787,True
551,781,True
555,782,True
557,785,True
561,785,True
565,788,True
570,790,True
562,787,True
570,792,True
553,780,True
537,769,True
536,770,True
535,770,True
537,771,True
525,763,True
527,761,True
530,765,True
534,768,True
538,769,True
544,774,True
549,777,True
537,769,True
549,779,True
546,779,True
530,763,True
514,752,True
497,735,True
490,733,True
506,746,True
509,750,True
499,741,True
501,742,True
504,744,True
488,728,True
472,713,True
455,696,True
462,700,True
473,716,True
483,723,True
475,717,True
476,720,True
480,722,True
476,714,True
482,725,True
466,709,True
469,711,True
468,708,True
454,692,True
447,683,True
448,688,True
453,688,True
452,688,True
452,689,True
458,700,True
467,710,True
462,699,True
459,697,True
458,699,True
475,716,True
490,732,True
492,733,True
492,732,True
486,729,True
502,739,True
518,755,True
512,748,True
517,752,True
